"THETA1","THETA2","THETA3","THETA4","THETA5","THETA6","THETA7","THETA8","SIGMA.1.1.","OMEGA.1.1.","OMEGA.2.1.","OMEGA.2.2.","OMEGA.3.1.","OMEGA.3.2.","OMEGA.3.3.","OBJ","WEIGHT"
0.442285,4.13544,1.1762,4.18677,1.29233,0.463083,0.00510773,0.436971,0.0395046,0.281668,0.105144,0.111907,0.127772,0.0814176,0.128145,30918.8154768265,96.140944497982
0.458776,4.13295,1.15236,4.192,1.25869,0.528906,-0.145697,0.514112,0.0413964,0.384943,0.110813,0.0914986,0.169554,0.0736999,0.106272,30928.67041777,8.68422569861397
0.389188,4.07139,1.19565,4.19515,1.30847,0.506468,-0.122726,0.498419,0.0386942,0.146836,0.0561287,0.0796535,0.0941022,0.0555435,0.104066,30925.7804707974,128.008575581404
0.448684,4.09815,1.16646,4.23034,1.28151,0.448005,-0.0659318,0.529418,0.0406078,0.275649,0.0683696,0.0745502,0.150874,0.0689199,0.125179,30912.9668682504,4.24524452474901
0.489798,4.16421,1.17847,4.20652,1.21159,0.461764,-0.0253363,0.449657,0.0405952,0.231771,0.0739917,0.0994665,0.160874,0.0871,0.142146,30919.21539919,9.81359431901572
0.353761,4.07878,1.14122,4.2081,1.33246,0.461952,-0.0738878,0.466096,0.0401238,0.23265,0.0903042,0.0989709,0.159171,0.0848817,0.133839,30915.6505673171,1.85532843931191
0.428001,4.17429,1.23207,4.21657,1.26836,0.531294,0.0634619,0.399662,0.0398654,0.183935,0.0566349,0.0834432,0.116742,0.0755454,0.118034,30918.174685259,2.38583497460902
0.444557,4.13782,1.20145,4.22158,1.29287,0.450897,-0.0575058,0.530749,0.0391338,0.235227,0.0823739,0.0794855,0.151406,0.0753589,0.134577,30915.2175749592,6.87087300289458
0.405057,4.1101,1.16501,4.22579,1.30986,0.530553,-0.0758917,0.532303,0.0387799,0.225179,0.0823984,0.0794142,0.135449,0.0764216,0.137072,30916.2867094545,2.02367888326845
0.511873,4.13176,1.14876,4.21658,1.28987,0.501645,-0.0530021,0.307835,0.0398909,0.314349,0.109449,0.0955307,0.181024,0.0896325,0.140111,30915.7392606674,3.28123852838329
0.58075,4.12282,1.1658,4.20103,1.22896,0.496848,-0.034782,0.392315,0.0393892,0.231212,0.0675207,0.0919198,0.138405,0.0787651,0.138083,30918.7624825462,6.9809934707454
0.442285,4.13544,1.1762,4.18677,1.29233,0.463083,0.00510773,0.436971,0.0395046,0.281668,0.105144,0.111907,0.127772,0.0814176,0.128145,30918.8154768265,96.140944497982
0.369457,4.07459,1.11771,4.21335,1.29351,0.51207,-0.0675233,0.392059,0.0402068,0.258545,0.0703331,0.0922825,0.128042,0.060634,0.101932,30918.9547864879,30.3211954356629
0.453428,4.12799,1.23239,4.20883,1.27171,0.523659,-0.0218918,0.451726,0.0405844,0.227847,0.0506574,0.0672128,0.117726,0.0657899,0.117268,30917.6040297571,0.439031102655078
0.430413,4.13274,1.18496,4.21145,1.27333,0.497689,0.00894737,0.379521,0.0405647,0.24912,0.0798326,0.0967953,0.1293,0.081424,0.121298,30908.6180112882,2.58540143251104
0.444365,4.12592,1.1968,4.20082,1.32987,0.455673,-0.0352397,0.39053,0.0388909,0.201704,0.0473059,0.0737596,0.120901,0.063798,0.10237,30916.8961180645,0.664436430500294
0.40028,4.08666,1.13469,4.19177,1.20155,0.518453,0.0801852,0.439789,0.0383932,0.264552,0.0786775,0.0974271,0.118703,0.0770742,0.115695,30924.1653927309,30.3553025990868
0.389188,4.07139,1.19565,4.19515,1.30847,0.506468,-0.122726,0.498419,0.0386942,0.146836,0.0561287,0.0796535,0.0941022,0.0555435,0.104066,30925.7804707974,128.008575581404
0.533525,4.17485,1.21263,4.17674,1.24693,0.51206,-0.025686,0.382294,0.0401692,0.300211,0.103375,0.0976793,0.149004,0.0775926,0.115684,30916.95654361,1.19068653061148
0.459399,4.12133,1.18677,4.21515,1.3011,0.406617,-0.0416596,0.523058,0.0394676,0.224945,0.0632769,0.0837536,0.133742,0.0710927,0.13006,30913.1498094589,25.7890763305521
0.524845,4.1224,1.14773,4.21317,1.18371,0.505903,-0.0143888,0.355367,0.0400156,0.274501,0.0639321,0.0812727,0.13877,0.0837703,0.147757,30923.2338778413,10.0076746530333
0.407378,4.10794,1.13337,4.19195,1.25034,0.451206,-0.109398,0.348142,0.0408697,0.25408,0.0906164,0.0951841,0.150925,0.0873178,0.12868,30913.7066425306,9.84829150290041
0.369457,4.07459,1.11771,4.21335,1.29351,0.51207,-0.0675233,0.392059,0.0402068,0.258545,0.0703331,0.0922825,0.128042,0.060634,0.101932,30918.9547864879,30.3211954356629
0.499458,4.10273,1.1278,4.18719,1.27527,0.423362,0.0241196,0.383868,0.0394403,0.304879,0.0847815,0.0841083,0.154187,0.0748773,0.127165,30915.273819576,2.50780905444965
0.407378,4.10794,1.13337,4.19195,1.25034,0.451206,-0.109398,0.348142,0.0408697,0.25408,0.0906164,0.0951841,0.150925,0.0873178,0.12868,30913.7066425306,9.84829150290041
0.399781,4.14428,1.16909,4.16274,1.25952,0.442386,-0.126155,0.454888,0.0382769,0.258132,0.0839216,0.0896877,0.124481,0.0717777,0.113841,30920.9039770156,2.1325527704755
0.316157,4.11273,1.18931,4.23083,1.33713,0.457358,-0.0663895,0.489148,0.0410622,0.277882,0.0801179,0.0845512,0.137824,0.079864,0.134399,30920.1819593529,3.40301877741018
0.426357,4.0763,1.15274,4.20919,1.29333,0.478892,-0.0776563,0.390711,0.0422902,0.221049,0.0536957,0.0857904,0.120283,0.0698449,0.116341,30915.1665233157,3.53619868486332
0.43601,4.1089,1.20509,4.20344,1.32075,0.454181,0.106687,0.387875,0.0399386,0.291631,0.102382,0.0954335,0.138211,0.0711343,0.114317,30917.8547972133,17.0637516934397
0.399551,4.08679,1.13885,4.2001,1.33723,0.453303,-0.0646614,0.292781,0.0397727,0.271154,0.0674535,0.0824161,0.110938,0.0693456,0.116795,30916.0231860455,3.00667633871701
0.40028,4.08666,1.13469,4.19177,1.20155,0.518453,0.0801852,0.439789,0.0383932,0.264552,0.0786775,0.0974271,0.118703,0.0770742,0.115695,30924.1653927309,30.3553025990868
0.406299,4.14598,1.17098,4.18727,1.31498,0.510133,-0.0179632,0.209631,0.0402241,0.276801,0.076071,0.0803297,0.121114,0.0649944,0.0993416,30924.5928892454,0.46843820769209
0.488385,4.09278,1.16358,4.18611,1.27356,0.459157,0.00355935,0.335027,0.0398841,0.200402,0.0708755,0.102192,0.111915,0.0867895,0.118426,30918.6722333793,28.881184366409
0.536736,4.11807,1.1382,4.1879,1.22304,0.449452,-0.0618605,0.397183,0.0394629,0.239508,0.0646767,0.0857753,0.130621,0.0787291,0.122855,30914.5031344036,2.07019532839499
0.315046,4.09391,1.11164,4.18145,1.22483,0.480559,-0.0180949,0.385022,0.0391104,0.24795,0.0611855,0.0829273,0.140025,0.0747676,0.12113,30923.8704488886,9.66659261666012
0.5191,4.12624,1.17315,4.21941,1.25776,0.490151,-0.0740979,0.460721,0.0400149,0.305189,0.0722946,0.074413,0.159354,0.0706001,0.120527,30911.4583789164,1.99126240818789
0.386691,4.13836,1.14268,4.20868,1.22004,0.476641,-0.0953928,0.576385,0.0404687,0.265676,0.0583687,0.0844324,0.119119,0.0706407,0.120758,30921.1266327499,8.78900858624782
0.389188,4.07139,1.19565,4.19515,1.30847,0.506468,-0.122726,0.498419,0.0386942,0.146836,0.0561287,0.0796535,0.0941022,0.0555435,0.104066,30925.7804707974,128.008575581404
0.485819,4.16235,1.21806,4.21976,1.2412,0.537029,-0.101504,0.300038,0.0409727,0.206576,0.0644513,0.0722448,0.128207,0.0669904,0.120221,30920.247716492,0.410465994448433
0.459399,4.12133,1.18677,4.21515,1.3011,0.406617,-0.0416596,0.523058,0.0394676,0.224945,0.0632769,0.0837536,0.133742,0.0710927,0.13006,30913.1498094589,25.7890763305521
0.479141,4.12457,1.17905,4.26438,1.32015,0.496334,0.0206937,0.262185,0.0413744,0.279824,0.0764552,0.0792805,0.146003,0.0702081,0.120091,30920.9837960558,5.02487222194468
0.484387,4.12373,1.14356,4.21552,1.28427,0.496762,0.0209076,0.362149,0.0389629,0.298668,0.0736108,0.0781238,0.159784,0.0639354,0.124747,30916.9907984425,27.7723550478707
0.501701,4.15473,1.17752,4.21022,1.21336,0.463352,-0.0307852,0.395513,0.0399459,0.212522,0.0791234,0.0893762,0.131579,0.0714223,0.12677,30914.4892630635,2.90770099139022
0.518664,4.15933,1.2149,4.22917,1.26496,0.461087,0.0434051,0.40235,0.0398212,0.230412,0.0707654,0.0791362,0.117165,0.0688968,0.104384,30913.9526458846,1.50026402229923
0.409372,4.08395,1.13318,4.19587,1.31214,0.417284,-0.0356209,0.353088,0.0432293,0.205258,0.057355,0.0736311,0.144402,0.07661,0.148707,30927.9695049017,10.3241463194483
0.417889,4.08568,1.11289,4.19999,1.26809,0.459844,-0.096669,0.319862,0.0402354,0.287373,0.0987146,0.0981473,0.159923,0.0873556,0.129546,30913.1913782255,5.07142869601182
0.440655,4.10534,1.13383,4.24231,1.27248,0.490803,0.0424279,0.379701,0.0401245,0.258955,0.0736908,0.0752582,0.179428,0.0794382,0.144017,30924.8296964765,6.69717881629746
0.389188,4.07139,1.19565,4.19515,1.30847,0.506468,-0.122726,0.498419,0.0386942,0.146836,0.0561287,0.0796535,0.0941022,0.0555435,0.104066,30925.7804707974,128.008575581404
0.547936,4.14797,1.21364,4.22163,1.26801,0.424173,-0.0896855,0.490656,0.0410424,0.306018,0.0777997,0.0831996,0.172603,0.0786585,0.129098,30917.3574556293,5.83519074827578
0.486795,4.10457,1.16369,4.21948,1.27954,0.475146,-0.0343857,0.406974,0.0406976,0.211397,0.0383649,0.0637453,0.101163,0.0542232,0.105637,30913.0741971909,1.06222240366285
0.503293,4.15889,1.20677,4.18205,1.34313,0.481466,-0.0528873,0.38787,0.040454,0.223966,0.0510783,0.0846421,0.0946967,0.0601151,0.101283,30921.1272726051,15.6934338709538
0.442285,4.13544,1.1762,4.18677,1.29233,0.463083,0.00510773,0.436971,0.0395046,0.281668,0.105144,0.111907,0.127772,0.0814176,0.128145,30918.8154768265,96.140944497982
