"THETA1","THETA2","THETA3","THETA4","THETA5","THETA6","THETA7","THETA8","SIGMA.1.1.","OMEGA.1.1.","OMEGA.2.1.","OMEGA.2.2.","OMEGA.3.1.","OMEGA.3.2.","OMEGA.3.3.","OBJ","WEIGHT"
0.430627,4.07343,1.16684,4.20209,1.33104,0.531585,-0.0682362,0.46179,0.0399623,0.216191,0.0506497,0.0788989,0.116792,0.0657543,0.122116,30915.7672962804,15.312514401728
0.404066,4.14616,1.17422,4.21153,1.20814,0.558626,0.038679,0.1729,0.0384318,0.20974,0.0591232,0.0756255,0.109578,0.0702413,0.130469,30930.9206679578,1.06518968108576
0.48489,4.13877,1.20964,4.21477,1.29452,0.454813,0.0935927,0.428321,0.0426303,0.235854,0.057696,0.0781741,0.119877,0.0675521,0.118742,30916.6845282718,1.45642421173998
0.391767,4.1056,1.16624,4.24873,1.31276,0.465398,-0.042344,0.505851,0.0403607,0.178798,0.069568,0.0928694,0.129805,0.074339,0.122062,30915.3760008125,1.92146736226808
0.397326,4.0953,1.19927,4.2119,1.31993,0.524311,0.0290251,0.431694,0.0392614,0.197688,0.0337544,0.0802621,0.0874983,0.0592234,0.0902441,30920.091423528,1.97862686486382
0.411558,4.10615,1.14702,4.21033,1.28291,0.467545,0.091636,0.184434,0.039808,0.188776,0.0570206,0.077985,0.114361,0.0665705,0.125562,30917.0915296975,5.12145796974079
0.448684,4.09815,1.16646,4.23034,1.28151,0.448005,-0.0659318,0.529418,0.0406078,0.275649,0.0683696,0.0745502,0.150874,0.0689199,0.125179,30912.9668682504,4.24524452474901
0.406299,4.14598,1.17098,4.18727,1.31498,0.510133,-0.0179632,0.209631,0.0402241,0.276801,0.076071,0.0803297,0.121114,0.0649944,0.0993416,30924.5928892454,0.46843820769209
0.474505,4.13948,1.17093,4.20414,1.24678,0.496514,-0.0489733,0.358892,0.0389503,0.254674,0.0660344,0.08231,0.118794,0.0626762,0.0969129,30912.2589553917,0.408530970053779
0.43875,4.11699,1.15847,4.16578,1.24698,0.431592,0.0160881,0.298716,0.0401108,0.182186,0.0556868,0.0873877,0.113605,0.0663099,0.117709,30917.3909569201,3.99933129326889
0.394433,4.0841,1.13958,4.22956,1.30619,0.492709,0.0324135,0.416792,0.0393179,0.260295,0.0633527,0.0919497,0.138588,0.0788418,0.137215,30915.0559475508,12.6693500613845
0.448914,4.14939,1.19965,4.192,1.27919,0.478909,0.00153745,0.353755,0.0385924,0.329718,0.0876616,0.0828462,0.164579,0.0805145,0.133632,30916.4352436646,2.43973969430494
0.573179,4.14965,1.18754,4.17768,1.2655,0.393992,-0.182226,0.393344,0.0388498,0.287872,0.078029,0.0962888,0.144658,0.0739818,0.113347,30922.3857757413,3.8632839010676
0.475999,4.13793,1.17554,4.19525,1.26315,0.457031,-0.142995,0.585695,0.0401343,0.21643,0.0537654,0.066199,0.135792,0.0665322,0.109392,30926.9129257145,0.140163521400726
0.435414,4.08997,1.13983,4.19697,1.28428,0.488133,-0.0303382,0.332741,0.0407057,0.267299,0.0705016,0.0903317,0.163318,0.0778177,0.135084,30914.6564881322,7.39989454393903
0.351935,4.1189,1.12381,4.21921,1.30368,0.461492,-0.086468,0.488479,0.0385431,0.17357,0.0498561,0.0784298,0.119383,0.0647367,0.0995439,30930.6414268231,0.0116991725242677
0.407807,4.13772,1.18191,4.19122,1.28139,0.519707,-0.074043,0.456981,0.0404549,0.132831,0.0306196,0.0687742,0.0858838,0.0551869,0.0925268,30915.7291290994,0.499648100230202
0.33112,4.10668,1.16417,4.21875,1.33541,0.519986,-0.0224396,0.516519,0.0406554,0.180233,0.0414258,0.0784873,0.0976404,0.072521,0.11985,30916.6957373717,1.21599989615592
0.492647,4.14023,1.20135,4.19239,1.26614,0.468946,-0.156916,0.400302,0.0390486,0.190739,0.0524878,0.0841641,0.103568,0.06034,0.0857108,30925.4894321619,0.0877120124414933
0.360486,4.09691,1.15892,4.2134,1.27684,0.462965,-0.128417,0.535524,0.0391165,0.251676,0.0727902,0.0797566,0.111574,0.0703408,0.102344,30919.1413084043,0.398108715726808
0.418549,4.09513,1.17377,4.23099,1.29258,0.480663,0.00433823,0.440812,0.0384996,0.200698,0.0487894,0.0840777,0.110948,0.0634846,0.103318,30912.3801524436,1.70186041239834
0.484322,4.10584,1.16872,4.23297,1.28699,0.481009,-0.0145126,0.384469,0.0410711,0.190895,0.0794046,0.0848061,0.143828,0.0842241,0.131456,30916.4420598902,0.397402193865709
0.49856,4.08059,1.09434,4.16095,1.28231,0.420093,-0.093962,0.384775,0.0393548,0.280381,0.079016,0.0859491,0.131173,0.0681108,0.0985414,30930.2688794159,0.0531059307939742
0.40952,4.14754,1.21002,4.20658,1.28442,0.496176,-0.114126,0.469877,0.0395331,0.263286,0.0898915,0.0945384,0.130968,0.08487,0.12263,30915.4314167924,2.134439956304
0.437667,4.12214,1.18909,4.23044,1.26497,0.500762,-0.0340698,0.430635,0.0387011,0.23466,0.061975,0.077593,0.141305,0.0735347,0.120183,30914.0914578924,0.885062448022683
0.472019,4.10239,1.14541,4.16878,1.26803,0.457054,-0.159091,0.489401,0.040489,0.285634,0.0812258,0.102921,0.148732,0.0832619,0.10713,30931.6223631123,0.130322236937539
0.5191,4.12624,1.17315,4.21941,1.25776,0.490151,-0.0740979,0.460721,0.0400149,0.305189,0.0722946,0.074413,0.159354,0.0706001,0.120527,30911.4583789164,1.99126240818789
0.504346,4.13242,1.18885,4.18701,1.27975,0.419282,0.0158082,0.417819,0.0400453,0.191091,0.0581013,0.0857246,0.130453,0.0770332,0.128274,30913.0821060393,1.51189005510491
0.425006,4.05699,1.16714,4.24315,1.31904,0.502119,0.0402953,0.433513,0.0408535,0.140979,0.0613744,0.0767784,0.102911,0.0714263,0.104369,30929.4513746418,0.0568115988421085
0.389188,4.07139,1.19565,4.19515,1.30847,0.506468,-0.122726,0.498419,0.0386942,0.146836,0.0561287,0.0796535,0.0941022,0.0555435,0.104066,30925.7804707974,128.008575581404
0.427579,4.15622,1.19868,4.19607,1.25493,0.514812,-0.0142437,0.371816,0.0418588,0.188717,0.0736418,0.0818388,0.12161,0.0734702,0.12689,30916.0581356156,0.342411325238744
0.408008,4.10093,1.16589,4.22223,1.25809,0.467327,0.0147757,0.454477,0.0400381,0.186081,0.0652043,0.0879159,0.11633,0.0696801,0.109786,30909.6381915991,1.61885160633322
0.402927,4.07632,1.12903,4.18147,1.33271,0.441783,-0.038107,0.4561,0.0392518,0.230995,0.0700568,0.0953915,0.116112,0.0727417,0.106306,30916.9589644996,0.56798404215864
0.35821,4.11192,1.15537,4.21096,1.32114,0.448726,0.0955758,0.562252,0.0399746,0.12829,0.0743574,0.0922903,0.113243,0.0761052,0.131372,30932.8681197567,0.0461893351858617
0.486999,4.10364,1.2003,4.23572,1.30851,0.526145,0.0455269,0.426731,0.0417445,0.27395,0.0859605,0.0727949,0.146539,0.0667737,0.106412,30921.5236632927,1.76260772126448
0.472151,4.12662,1.18688,4.19923,1.24604,0.498575,0.014141,0.375843,0.0391894,0.196529,0.0916548,0.0830246,0.122556,0.0651689,0.101885,30924.286329708,0.160405812740215
0.490916,4.12868,1.15611,4.20245,1.25261,0.466367,-0.0233598,0.447915,0.039594,0.217204,0.0688893,0.0854731,0.129417,0.0649957,0.107256,30910.5618216858,0.773995405162931
0.42683,4.09659,1.10858,4.22465,1.30676,0.472767,-0.124767,0.432626,0.0391027,0.191413,0.0569482,0.0900899,0.122773,0.0778657,0.12041,30919.4283146029,0.823607114107876
0.38815,4.11578,1.1211,4.20347,1.29625,0.42084,-0.112187,0.3288,0.0406967,0.191859,0.0826269,0.0934605,0.142623,0.0956305,0.151603,30920.8959692127,61.5376937325977
0.518615,4.1339,1.15809,4.20804,1.31331,0.437012,-0.0148042,0.463181,0.0396448,0.209987,0.077328,0.095578,0.144369,0.0794365,0.109646,30929.8470111091,0.0074803549433642
0.299358,4.09831,1.17882,4.2223,1.28895,0.470375,0.0426926,0.35223,0.0391202,0.215775,0.0809795,0.0814251,0.122684,0.0757833,0.126109,30922.1141087072,0.4344924298981
